frame;hr
17204;93
17219;93
17234;91
17249;91
17264;90
17279;90
17294;88
17309;88
17324;88
17339;88
17354;88
17369;89
17384;89
17399;91
17414;91
17429;92
17444;92
17459;95
17474;96
17489;96
17504;96
17519;96
17534;96
17549;96
17564;95
17579;95
17594;95
17609;95
17624;93
17639;93
17654;92
17669;92
17684;92
17699;92
17714;91
17729;92
17744;92
17759;92
17774;92
17789;93
17804;93
17819;94
17834;94
17849;94
17864;94
17879;94
17894;93
17909;93
17924;92
17939;92
17954;91
17969;91
17984;91
17999;91
18014;91
18029;91
18044;92
18059;92
18074;92
18089;92
18104;92
18119;93
18134;93
18149;94
18164;94
18179;94
18194;95
18209;95
18224;96
18239;96
18254;96
18269;96
18284;96
18299;96
18314;96
18329;96
18344;95
18359;95
18374;95
18389;95
18404;96
18419;96
18434;96
18449;97
18464;97
18479;98
18494;98
18509;99
18524;99
18539;99
18554;96
18569;96
18584;95
18599;95
18614;93
18629;93
18644;93
18659;93
18674;93
18689;93
18704;93
18719;93
18734;92
18749;92
18764;92
18779;92
18794;92
18809;92
18824;92
18839;93
18854;93
18869;93
18884;93
18899;94
18914;95
18929;95
18944;95
18959;95
18974;95
18989;95
19004;95
19019;95
19034;94
19049;94
19064;93
19079;93
19094;93
19109;93
19124;92
19139;92
19154;92
19169;92
19184;92
19199;93
19214;93
19229;94
19244;96
19259;96
19274;98
19289;98
19304;99
19319;99
19334;99
19349;99
19364;99
19379;99
19394;99
19409;99
19424;98
19439;98
19454;97
19469;97
19484;96
19499;96
19514;96
19529;95
19544;95
19559;95
19574;95
19589;96
19604;96
19619;97
19634;97
19649;97
19664;99
19679;99
19694;100
19709;100
19724;100
19739;100
19754;101
19769;101
19784;102
19799;102
19814;101
19829;101
19844;101
19859;101
19874;101
19889;100
19904;100
19919;98
19934;98
19949;97
19964;97
19979;94
19994;94
20009;93
20024;92
20039;92
20054;91
20069;91
20084;91
20099;91
20114;90
20129;90
20144;91
20159;91
20174;91
20189;91
20204;92
20219;92
20234;92
20249;92
20264;92
20279;93
20294;93
20309;92
20324;92
20339;92
20354;91
20369;91
20384;90
20399;90
20414;90
20429;90
20444;90
20459;90
20474;90
20489;90
20504;90
20519;90
20534;92
20549;92
20564;93
20579;93
20594;93
20609;94
20624;94
20639;94
20654;94
20669;94
20684;94
20699;94
20714;93
20729;93
20744;93
20759;93
20774;92
20789;92
20804;91
20819;91
20834;92
20849;92
20864;92
20879;92
20894;93
20909;93
20924;92
20939;92
20954;92
20969;91
20984;91
20999;91
21014;91
21029;90
21044;90
21059;91
21074;90
21089;90
21104;90
21119;90
21134;90
21149;90
21164;90
21179;90
21194;89
21209;89
21224;88
21239;88
21254;87
21269;87
21284;86
21299;86
21314;86
21329;86
21344;86
21359;87
21374;87
21389;87
21404;87
21419;88
21434;88
21449;88
21464;88
21479;88
21494;88
21509;88
21524;88
21539;88
21554;88
21569;88
21584;87
21599;87
21614;87
21629;87
21644;87
21659;87
21674;87
21689;87
21704;87
21719;87
21734;87
21749;88
21764;88
21779;88
21794;88
21809;88
21824;89
21839;89
21854;89
21869;89
21884;89
21899;89
21914;89
21929;89
21944;89
21959;89
21974;88
21989;88
22004;88
22019;88
22034;88
22049;88
22064;88
22079;89
22094;89
22109;89
22124;89
22139;90
22154;90
22169;90
22184;91
22199;91
22214;91
22229;91
22244;92
