frame;hr
14984;98
14999;98
15014;97
15029;97
15044;96
15059;96
15074;97
15089;97
15104;96
15119;96
15134;96
15149;96
15164;97
15179;98
15194;98
15209;98
15224;98
15239;98
15254;98
15269;98
15284;98
15299;98
15314;98
15329;98
15344;98
15359;98
15374;99
15389;99
15404;99
15419;99
15434;98
15449;98
15464;99
15479;99
15494;98
15509;98
15524;97
15539;97
15554;97
15569;98
15584;98
15599;99
15614;99
15629;99
15644;99
15659;99
15674;99
15689;99
15704;98
15719;98
15734;98
15749;98
15764;99
15779;99
15794;99
15809;99
15824;99
15839;99
15854;98
15869;98
15884;97
15899;97
15914;97
15929;97
15944;97
15959;98
15974;98
15989;98
16004;98
16019;98
16034;98
16049;98
16064;98
16079;98
16094;98
16109;98
16124;98
16139;98
16154;98
16169;98
16184;98
16199;98
16214;98
16229;98
16244;98
16259;98
16274;98
16289;97
16304;97
16319;98
16334;98
16349;98
16364;98
16379;98
16394;99
16409;99
16424;99
16439;99
16454;98
16469;98
16484;98
16499;98
16514;98
16529;98
16544;97
16559;97
16574;97
16589;97
16604;97
16619;98
16634;98
16649;99
16664;99
16679;100
16694;100
16709;100
16724;100
16739;100
16754;100
16769;100
16784;100
16799;100
16814;100
16829;100
16844;100
16859;100
16874;101
16889;101
16904;102
16919;102
16934;102
16949;102
16964;102
16979;102
16994;102
17009;102
17024;102
17039;101
17054;101
17069;101
17084;100
17099;100
17114;100
17129;100
17144;99
17159;99
17174;98
17189;98
17204;98
17219;98
17234;98
17249;98
17264;100
17279;100
17294;102
17309;102
17324;103
17339;103
17354;103
17369;103
17384;103
17399;101
17414;101
17429;101
17444;101
17459;101
17474;101
17489;101
17504;101
17519;101
17534;101
17549;101
17564;100
17579;100
17594;100
17609;100
17624;98
17639;98
17654;98
17669;98
17684;98
17699;99
17714;99
17729;99
17744;99
17759;99
17774;99
17789;99
17804;100
17819;100
17834;100
17849;100
17864;101
17879;101
17894;102
17909;102
17924;102
17939;102
17954;102
17969;102
17984;102
17999;102
18014;102
18029;102
18044;102
18059;102
18074;102
18089;101
18104;101
18119;100
18134;100
18149;100
18164;101
18179;101
18194;101
18209;101
18224;101
18239;101
18254;103
18269;103
18284;103
18299;103
18314;105
18329;105
18344;107
18359;107
18374;109
18389;109
18404;110
18419;110
18434;110
18449;110
18464;110
18479;110
18494;110
18509;110
18524;111
18539;111
18554;112
18569;112
18584;114
18599;114
18614;115
18629;115
18644;116
18659;116
18674;117
18689;117
18704;118
18719;118
18734;118
18749;118
18764;118
18779;118
18794;119
18809;118
18824;118
18839;119
18854;119
18869;119
18884;118
18899;118
18914;118
18929;118
18944;118
18959;118
18974;117
18989;117
19004;117
19019;117
19034;118
19049;118
19064;119
19079;119
19094;120
19109;120
19124;121
19139;121
19154;122
19169;122
19184;122
19199;122
19214;122
19229;122
19244;124
19259;124
19274;124
19289;124
19304;124
19319;124
19334;124
19349;124
19364;124
19379;124
19394;123
19409;123
19424;123
19439;123
19454;122
19469;122
19484;122
19499;122
19514;122
19529;121
19544;121
19559;121
19574;121
19589;121
19604;121
19619;121
19634;121
19649;121
19664;120
19679;120
19694;118
19709;118
19724;114
19739;114
19754;113
19769;113
19784;114
19799;114
19814;114
19829;114
19844;113
19859;112
19874;112
19889;112
19904;112
19919;112
19934;112
19949;112
19964;114
19979;114
19994;114
20009;114
20024;114
20039;114
20054;114
20069;114
20084;115
20099;115
20114;116
20129;116
20144;116
20159;116
20174;116
20189;116
20204;116
20219;116
20234;116
20249;115
20264;115
20279;114
20294;114
20309;114
20324;113
20339;113
20354;111
20369;111
20384;111
20399;111
20414;110
20429;110
20444;111
20459;111
20474;112
20489;112
20504;112
20519;112
20534;111
20549;111
20564;110
20579;110
20594;110
20609;111
20624;111
20639;110
20654;110
20669;110
20684;107
20699;107
20714;107
20729;107
20744;107
20759;105
20774;104
20789;104
20804;106
20819;106
20834;106
20849;106
20864;106
20879;106
20894;106
20909;106
20924;106
20939;106
20954;106
20969;106
20984;105
20999;105
21014;104
21029;104
21044;102
21059;102
21074;102
21089;102
21104;104
21119;104
21134;105
21149;105
21164;107
21179;107
21194;108
21209;108
21224;105
21239;105
21254;105
21269;105
21284;106
21299;106
21314;106
21329;107
21344;107
21359;108
21374;108
21389;108
21404;108
21419;108
21434;107
21449;107
21464;107
21479;107
21494;106
21509;106
21524;106
21539;106
21554;105
21569;105
21584;105
21599;105
21614;106
21629;106
21644;107
21659;107
21674;107
21689;108
21704;108
21719;109
21734;109
21749;109
21764;110
21779;110
21794;110
21809;110
21824;110
21839;110
21854;110
21869;110
21884;111
21899;111
21914;110
21929;110
21944;110
21959;110
21974;109
21989;109
22004;109
22019;110
22034;110
22049;112
22064;112
22079;113
22094;113
22109;113
22124;112
22139;112
22154;110
22169;110
22184;110
22199;110
22214;110
22229;110
22244;112
22259;112
22274;111
22289;111
22304;110
22319;110
22334;109
22349;109
22364;109
22379;110
22394;110
22409;110
22424;110
22439;108
22454;108
22469;108
22484;108
22499;108
22514;107
22529;107
22544;106
22559;106
22574;106
22589;106
22604;106
22619;106
22634;106
22649;106
22664;106
22679;106
22694;106
22709;106
22724;106
22739;108
22754;108
22769;110
22784;110
22799;109
22814;109
22829;109
22844;107
22859;107
22874;106
22889;106
22904;104
22919;104
22934;103
22949;103
22964;102
22979;102
22994;102
23009;102
23024;104
23039;104
23054;105
23069;105
23084;105
23099;106
23114;106
23129;106
23144;106
23159;106
23174;106
23189;106
23204;106
23219;106
23234;106
23249;106
23264;106
23279;106
23294;106
23309;106
23324;106
23339;106
23354;105
23369;105
23384;102
23399;102
23414;101
23429;101
23444;100
23459;101
23474;101
23489;102
23504;102
23519;102
23534;102
23549;102
23564;103
23579;103
23594;104
23609;104
23624;105
23639;105
23654;105
23669;105
23684;104
23699;104
23714;104
23729;104
23744;104
23759;104
23774;103
23789;103
23804;103
23819;104
23834;104
23849;104
23864;104
23879;104
23894;104
23909;104
23924;105
23939;105
23954;105
23969;105
23984;105
23999;105
24014;105
24029;105
24044;104
24059;104
24074;103
24089;103
24104;102
24119;102
24134;102
24149;102
24164;101
24179;101
24194;101
24209;102
24224;102
24239;102
24254;102
24269;102
24284;100
24299;100
24314;100
24329;100
24344;101
24359;101
24374;103
24389;103
24404;103
24419;103
24434;105
24449;105
24464;106
24479;106
24494;106
24509;106
24524;105
24539;104
24554;104
24569;103
24584;103
24599;104
24614;104
24629;104
24644;104
24659;104
24674;105
24689;105
24704;105
24719;105
24734;106
24749;106
24764;106
24779;106
24794;106
24809;106
24824;106
24839;106
24854;105
24869;105
24884;105
24899;105
24914;105
24929;105
24944;105
24959;105
24974;105
24989;104
25004;104
25019;104
25034;104
25049;104
25064;103
25079;103
25094;104
25109;104
25124;105
25139;105
25154;105
25169;105
25184;105
25199;105
25214;105
25229;105
25244;105
25259;105
25274;105
25289;104
25304;104
25319;104
25334;104
25349;104
25364;104
25379;104
25394;103
25409;103
25424;103
25439;103
25454;103
25469;103
25484;103
25499;103
25514;102
25529;102
25544;102
25559;102
25574;102
25589;102
25604;102
25619;103
25634;103
25649;104
25664;104
25679;104
25694;104
25709;104
25724;104
25739;104
25754;104
25769;104
25784;104
25799;104
25814;103
25829;103
25844;104
25859;104
25874;105
25889;105
25904;106
25919;106
25934;106
25949;106
25964;105
25979;102
25994;102
26009;100
26024;100
26039;100
26054;100
26069;100
26084;100
26099;99
26114;100
26129;100
26144;102
26159;102
26174;103
26189;103
26204;104
26219;104
26234;104
26249;104
26264;104
26279;104
26294;102
26309;102
26324;101
26339;98
26354;98
26369;97
26384;97
26399;97
26414;97
26429;97
26444;98
26459;98
26474;98
26489;98
26504;98
26519;98
26534;99
26549;99
26564;99
26579;99
26594;99
26609;99
26624;100
26639;100
26654;100
26669;100
26684;101
26699;100
26714;100
26729;100
26744;100
26759;100
26774;100
26789;100
26804;101
26819;101
26834;102
26849;102
26864;102
26879;102
26894;101
26909;101
26924;100
26939;100
26954;100
26969;100
26984;99
26999;99
27014;101
27029;101
27044;102
27059;102
27074;102
27089;103
27104;103
27119;103
27134;103
27149;103
27164;103
27179;103
27194;102
27209;102
27224;102
27239;102
27254;102
27269;102
27284;102
27299;102
27314;101
27329;101
27344;101
27359;100
27374;100
27389;100
27404;100
27419;101
27434;101
27449;102
27464;102
27479;102
27494;102
27509;102
27524;101
27539;101
27554;101
27569;101
27584;101
27599;101
27614;101
27629;101
27644;101
27659;101
27674;101
27689;101
27704;100
27719;100
27734;99
27749;99
27764;98
27779;97
27794;97
27809;96
27824;96
27839;96
27854;96
27869;96
27884;97
27899;97
27914;98
27929;98
27944;98
27959;98
27974;98
27989;98
28004;98
28019;98
28034;98
28049;98
28064;99
28079;99
28094;100
28109;100
28124;102
28139;102
28154;102
28169;102
28184;102
28199;102
28214;102
28229;102
28244;102
28259;102
28274;102
28289;102
28304;101
28319;101
28334;102
28349;102
28364;102
28379;102
28394;102
28409;102
28424;102
28439;102
28454;102
28469;102
28484;102
28499;102
28514;102
28529;102
28544;102
28559;103
28574;103
28589;103
28604;104
28619;104
28634;104
28649;104
28664;105
28679;105
28694;105
28709;105
28724;106
28739;106
28754;106
28769;106
28784;106
28799;106
28814;106
28829;106
28844;105
28859;104
28874;104
28889;102
28904;102
28919;102
28934;102
28949;101
28964;101
28979;101
28994;101
29009;101
29024;101
29039;101
29054;101
29069;101
29084;100
29099;100
29114;100
29129;100
29144;100
29159;100
29174;100
29189;100
29204;99
29219;98
29234;98
29249;98
29264;99
29279;99
29294;100
29309;100
29324;100
29339;100
29354;100
29369;100
29384;100
29399;100
29414;100
29429;100
29444;100
29459;100
29474;100
29489;100
29504;100
29519;100
29534;99
29549;99
29564;99
29579;99
29594;99
29609;100
29624;100
29639;100
29654;100
29669;100
29684;100
29699;100
29714;99
29729;99
29744;100
29759;100
29774;100
29789;100
29804;99
29819;99
29834;98
29849;98
29864;98
29879;98
29894;97
29909;97
29924;97
29939;97
29954;98
29969;98
29984;100
29999;100
30014;100
30029;102
30044;102
30059;102
30074;101
30089;101
30104;100
30119;100
30134;97
30149;97
30164;97
30179;97
30194;97
30209;97
30224;98
30239;98
30254;98
30269;98
30284;98
30299;98
30314;98
30329;98
30344;98
30359;98
30374;98
30389;96
30404;94
30419;94
30434;93
30449;93
30464;93
30479;93
30494;93
30509;93
30524;95
30539;95
30554;96
30569;96
30584;96
30599;96
30614;97
30629;97
30644;96
30659;95
30674;95
30689;95
30704;93
30719;93
30734;93
30749;93
30764;94
30779;94
30794;96
30809;96
30824;97
30839;97
30854;97
30869;97
30884;98
30899;98
30914;98
30929;98
30944;97
30959;97
30974;96
30989;96
31004;96
31019;97
31034;97
31049;98
31064;98
31079;98
31094;98
31109;98
31124;99
31139;99
31154;99
31169;99
31184;99
31199;99
31214;98
31229;98
31244;97
31259;97
31274;98
31289;98
31304;98
31319;98
31334;98
31349;98
31364;97
31379;97
31394;97
31409;97
31424;97
31439;97
31454;97
31469;97
31484;97
31499;97
31514;97
31529;97
31544;97
31559;97
31574;97
31589;97
31604;96
31619;96
31634;96
31649;96
31664;96
31679;96
31694;97
31709;97
31724;97
31739;97
31754;97
31769;98
31784;98
31799;98
