frame;hr
8009;98
8024;98
8039;98
8054;100
8069;103
8084;103
8099;104
8114;104
8129;105
8144;105
8159;105
8174;104
8189;104
8204;104
8219;104
8234;104
8249;104
8264;105
8279;105
8294;105
8309;105
8324;106
8339;105
8354;105
8369;105
8384;105
8399;105
8414;105
8429;106
8444;106
8459;105
8474;105
8489;104
8504;104
8519;103
8534;103
8549;103
8564;103
8579;103
8594;103
8609;103
8624;105
8639;105
8654;105
8669;105
8684;105
8699;105
8714;105
8729;104
8744;104
8759;103
8774;103
8789;103
8804;103
8819;103
8834;103
8849;103
8864;103
8879;103
8894;103
8909;103
8924;104
8939;104
8954;105
8969;105
8984;105
8999;105
9014;105
9029;105
9044;105
9059;104
9074;104
9089;103
9104;103
9119;103
9134;103
9149;102
9164;102
9179;102
9194;100
9209;99
9224;99
9239;100
9254;101
9269;101
9284;101
9299;101
9314;100
9329;100
9344;100
9359;100
9374;100
9389;100
9404;100
9419;101
9434;101
9449;103
9464;103
9479;103
9494;103
9509;103
9524;103
9539;102
9554;102
9569;102
9584;102
9599;102
9614;103
9629;103
9644;102
9659;102
9674;102
9689;102
9704;102
9719;102
9734;102
9749;102
9764;102
9779;102
9794;102
9809;101
9824;101
9839;100
9854;100
9869;100
9884;100
9899;100
9914;100
9929;99
9944;99
9959;99
9974;99
9989;99
10004;100
10019;100
10034;101
10049;101
10064;101
10079;101
10094;102
10109;102
10124;102
10139;102
10154;102
10169;102
10184;102
10199;102
10214;102
10229;102
10244;102
10259;101
10274;101
10289;98
10304;97
10319;97
10334;96
10349;96
10364;95
10379;95
10394;96
10409;96
10424;97
10439;97
10454;97
10469;97
10484;97
10499;97
10514;97
10529;97
10544;97
10559;97
10574;97
10589;97
10604;97
10619;97
10634;97
10649;97
10664;98
10679;98
10694;100
10709;100
10724;101
10739;101
10754;101
10769;101
10784;101
10799;101
10814;101
10829;101
10844;101
10859;100
10874;100
10889;100
10904;100
10919;100
10934;100
10949;102
10964;102
10979;103
10994;103
11009;103
11024;102
11039;102
11054;101
11069;101
11084;101
11099;101
11114;102
11129;102
11144;102
11159;102
11174;98
11189;98
11204;98
11219;96
11234;96
11249;96
11264;96
11279;96
11294;96
11309;97
11324;97
11339;100
11354;100
11369;101
11384;103
11399;103
11414;102
11429;102
11444;101
11459;101
11474;100
11489;100
11504;100
11519;100
11534;100
11549;100
11564;100
11579;100
11594;100
11609;99
11624;99
11639;98
11654;98
11669;99
11684;99
11699;99
11714;99
11729;100
11744;100
11759;100
11774;100
11789;100
11804;101
11819;101
11834;104
11849;104
11864;104
11879;104
11894;104
11909;104
11924;104
11939;101
11954;101
11969;100
11984;100
11999;97
12014;97
12029;97
12044;97
12059;98
12074;98
12089;98
12104;98
12119;99
12134;99
12149;99
12164;100
12179;100
12194;100
12209;100
12224;100
12239;100
12254;98
12269;98
12284;98
12299;97
12314;97
12329;97
12344;97
12359;97
12374;97
12389;97
12404;97
12419;97
12434;97
12449;97
12464;97
12479;97
12494;98
12509;98
12524;98
12539;98
12554;99
12569;99
12584;100
12599;100
12614;101
12629;101
12644;101
12659;101
12674;101
12689;101
12704;101
12719;102
12734;102
12749;102
12764;102
12779;101
12794;101
12809;101
12824;101
12839;101
12854;102
12869;102
12884;103
12899;103
12914;103
12929;103
12944;103
12959;103
12974;102
12989;102
13004;102
13019;101
13034;101
13049;100
13064;100
13079;98
13094;98
13109;98
13124;98
13139;98
13154;98
13169;98
13184;98
13199;100
13214;101
13229;101
13244;102
13259;102
13274;102
13289;102
13304;101
13319;101
13334;100
13349;100
13364;100
13379;101
13394;101
13409;101
13424;101
13439;101
13454;101
13469;100
13484;100
13499;99
13514;99
13529;98
13544;98
13559;96
13574;95
13589;95
13604;95
13619;95
13634;96
13649;96
13664;97
13679;97
13694;98
13709;98
13724;98
13739;98
13754;98
13769;97
13784;97
13799;94
13814;94
13829;93
13844;93
13859;92
13874;92
13889;92
13904;92
13919;92
13934;93
13949;93
13964;94
13979;94
13994;97
14009;97
14024;98
14039;98
14054;98
14069;98
14084;98
14099;98
14114;98
14129;100
14144;100
14159;100
14174;100
14189;100
14204;100
14219;100
14234;100
