frame;hr
11624;95
11639;95
11654;95
11669;95
11684;95
11699;94
11714;94
11729;94
11744;94
11759;94
11774;94
11789;94
11804;94
11819;94
11834;94
11849;93
11864;93
11879;93
11894;93
11909;91
11924;91
11939;91
11954;91
11969;91
11984;91
11999;91
12014;92
12029;93
12044;93
12059;93
12074;93
12089;94
12104;94
12119;96
12134;96
12149;95
12164;95
12179;94
12194;94
12209;94
12224;94
12239;94
12254;94
12269;94
12284;94
12299;96
12314;96
12329;96
12344;96
12359;96
12374;96
12389;95
12404;95
12419;93
12434;93
12449;91
12464;91
12479;90
12494;90
12509;90
12524;89
12539;89
12554;89
12569;88
12584;88
12599;88
12614;88
12629;88
12644;88
12659;89
12674;89
12689;89
12704;89
12719;89
12734;90
12749;89
12764;89
12779;88
12794;88
12809;88
12824;88
12839;87
12854;87
12869;88
12884;88
12899;88
12914;88
12929;90
12944;90
12959;90
12974;90
12989;91
13004;91
13019;92
13034;92
13049;92
13064;93
13079;93
13094;93
13109;93
13124;93
13139;94
13154;94
13169;91
13184;91
13199;89
13214;89
13229;88
13244;88
13259;88
13274;88
13289;88
13304;88
13319;88
13334;89
13349;89
13364;89
13379;89
13394;89
13409;89
13424;89
13439;89
13454;91
13469;92
13484;92
13499;95
13514;95
13529;97
13544;97
13559;97
13574;97
13589;98
13604;98
13619;97
13634;97
13649;97
13664;97
13679;96
13694;96
13709;93
13724;93
13739;92
13754;92
13769;92
13784;91
13799;90
13814;90
13829;90
13844;90
13859;90
13874;90
13889;90
13904;90
13919;92
13934;92
13949;92
13964;92
13979;92
13994;92
14009;93
14024;93
14039;95
14054;95
14069;95
14084;95
14099;95
14114;95
14129;95
14144;95
14159;95
14174;93
14189;92
14204;92
14219;92
14234;92
14249;93
14264;93
14279;94
14294;94
14309;94
14324;94
14339;93
14354;93
14369;92
14384;92
14399;92
14414;92
14429;91
14444;91
14459;91
14474;91
14489;91
14504;91
14519;91
14534;92
14549;94
14564;94
14579;94
14594;94
14609;94
14624;94
14639;95
14654;95
14669;96
14684;96
14699;96
14714;96
14729;96
14744;96
14759;95
14774;95
14789;95
14804;95
14819;94
14834;94
14849;94
14864;92
14879;92
14894;92
14909;93
14924;93
14939;93
14954;93
14969;93
14984;93
14999;93
15014;93
15029;93
15044;93
15059;93
15074;93
15089;92
15104;92
15119;92
15134;92
15149;93
15164;93
15179;93
15194;93
15209;93
15224;93
15239;93
15254;93
15269;94
15284;94
15299;95
15314;95
15329;96
15344;96
15359;96
15374;96
15389;95
15404;95
15419;94
15434;94
15449;93
15464;93
15479;92
15494;92
15509;92
15524;92
15539;91
15554;91
15569;91
15584;91
15599;91
15614;91
15629;91
15644;91
15659;90
15674;90
15689;90
15704;90
15719;90
15734;90
15749;90
15764;90
15779;89
15794;89
15809;88
15824;88
15839;88
15854;88
15869;89
15884;89
15899;90
15914;90
15929;90
15944;91
15959;91
15974;91
15989;91
16004;91
16019;91
16034;91
16049;90
16064;90
16079;91
16094;91
16109;91
16124;91
16139;91
16154;91
16169;91
16184;91
16199;91
16214;91
16229;91
16244;91
16259;92
16274;92
16289;92
16304;92
16319;92
16334;91
16349;90
16364;90
16379;87
16394;87
16409;87
16424;87
16439;86
16454;86
16469;86
16484;86
16499;86
16514;86
16529;86
16544;86
16559;87
16574;87
16589;86
16604;86
16619;86
16634;86
16649;86
16664;86
16679;86
16694;86
16709;86
16724;86
16739;86
16754;86
16769;86
16784;86
16799;86
16814;86
16829;87
16844;87
16859;88
16874;88
16889;89
16904;89
16919;91
16934;91
16949;93
16964;93
16979;93
16994;93
17009;93
17024;92
17039;92
17054;92
17069;91
17084;91
17099;91
17114;91
17129;90
17144;90
17159;90
17174;90
17189;89
17204;89
17219;89
17234;89
17249;90
17264;90
17279;90
17294;90
17309;89
17324;89
17339;89
17354;89
17369;89
17384;88
17399;88
17414;87
17429;87
17444;87
17459;87
17474;87
17489;87
17504;87
17519;87
17534;87
17549;87
17564;88
17579;89
17594;89
17609;89
17624;89
17639;89
17654;89
17669;88
17684;88
17699;88
17714;88
17729;88
17744;88
17759;88
17774;88
17789;90
17804;90
17819;91
17834;91
17849;93
17864;93
17879;93
17894;93
17909;93
17924;93
17939;92
17954;92
17969;92
17984;92
17999;92
18014;92
18029;92
18044;92
18059;92
18074;92
18089;92
18104;92
18119;92
18134;92
18149;92
18164;92
18179;91
18194;91
18209;91
18224;91
18239;91
18254;91
18269;91
18284;91
18299;92
18314;92
18329;93
18344;93
18359;94
18374;94
18389;94
18404;94
18419;92
18434;92
18449;92
18464;92
18479;92
18494;92
18509;92
18524;92
18539;90
18554;90
18569;88
18584;88
18599;88
18614;88
18629;88
18644;87
18659;87
18674;87
18689;87
18704;87
18719;87
18734;87
18749;87
18764;87
18779;86
18794;86
18809;86
18824;86
18839;86
18854;85
18869;84
18884;84
18899;84
18914;84
18929;83
18944;83
18959;83
18974;83
18989;83
19004;83
19019;83
19034;83
19049;84
19064;84
19079;86
19094;86
19109;86
19124;86
19139;87
19154;87
19169;87
19184;88
19199;88
19214;88
19229;89
19244;89
19259;91
19274;91
19289;92
19304;92
19319;93
19334;93
19349;92
19364;92
19379;91
19394;91
19409;90
19424;90
19439;89
19454;89
19469;88
19484;88
19499;88
19514;88
19529;88
19544;88
19559;88
19574;88
19589;88
19604;88
19619;88
19634;88
19649;89
19664;89
19679;89
19694;89
19709;89
19724;89
19739;89
19754;89
19769;88
19784;88
19799;88
19814;88
19829;88
19844;88
19859;88
19874;88
19889;88
19904;88
19919;88
19934;88
19949;88
19964;88
19979;88
19994;88
20009;89
20024;89
20039;89
20054;89
20069;89
20084;89
20099;89
20114;89
20129;90
20144;90
20159;90
20174;90
20189;91
20204;91
20219;92
20234;92
20249;92
20264;92
20279;92
20294;92
20309;92
20324;92
20339;91
20354;91
20369;91
20384;91
20399;90
20414;90
20429;90
20444;90
20459;90
20474;90
20489;91
20504;91
20519;91
20534;91
20549;90
20564;90
20579;91
20594;91
20609;91
20624;90
20639;90
20654;90
20669;90
20684;90
20699;90
20714;90
20729;89
20744;89
20759;90
20774;90
20789;91
20804;91
20819;92
20834;92
20849;92
20864;92
20879;93
20894;93
20909;93
20924;93
20939;91
20954;91
20969;91
20984;91
20999;91
21014;90
21029;90
21044;90
21059;91
21074;91
21089;91
21104;91
21119;92
21134;92
21149;91
21164;91
21179;90
21194;90
21209;89
21224;89
21239;88
21254;88
21269;87
21284;87
21299;88
21314;88
21329;88
21344;88
21359;88
21374;88
21389;87
21404;87
21419;87
21434;87
21449;88
21464;88
21479;88
21494;88
21509;88
21524;88
21539;88
21554;88
21569;88
21584;88
21599;89
21614;89
21629;90
21644;90
21659;91
21674;91
21689;91
21704;90
21719;90
21734;90
21749;90
21764;90
21779;90
21794;89
21809;89
21824;89
21839;89
21854;89
21869;88
21884;88
21899;88
21914;88
21929;88
21944;88
21959;88
21974;88
21989;89
22004;89
22019;89
22034;89
22049;89
22064;89
22079;89
22094;89
22109;89
22124;89
22139;89
22154;89
22169;89
22184;89
22199;90
22214;90
22229;90
22244;90
22259;90
22274;90
22289;90
22304;90
22319;90
22334;90
22349;89
22364;89
22379;89
22394;89
22409;89
22424;89
22439;89
22454;89
22469;89
22484;89
22499;90
22514;90
22529;90
22544;90
22559;90
22574;90
22589;90
22604;90
22619;90
22634;90
22649;91
22664;91
22679;91
22694;91
22709;90
22724;90
22739;89
22754;89
22769;89
22784;89
22799;89
22814;90
22829;90
22844;90
22859;90
22874;90
22889;89
22904;89
22919;88
22934;88
22949;88
22964;88
22979;87
22994;87
23009;87
23024;87
23039;87
23054;87
23069;87
23084;87
23099;87
23114;87
23129;87
23144;88
23159;88
23174;88
23189;88
23204;88
23219;87
23234;87
23249;87
23264;87
23279;87
23294;87
23309;87
23324;87
23339;87
23354;87
23369;87
23384;87
23399;87
23414;87
23429;88
23444;88
23459;88
23474;88
23489;88
23504;88
23519;88
23534;87
23549;87
23564;87
23579;88
23594;88
23609;88
23624;88
23639;88
23654;88
23669;89
23684;89
23699;90
23714;90
23729;90
23744;90
23759;91
23774;91
23789;91
23804;91
23819;91
23834;91
23849;92
23864;92
23879;92
23894;92
23909;92
23924;92
23939;92
23954;92
23969;93
23984;93
23999;94
24014;94
24029;94
24044;94
24059;94
24074;94
24089;93
24104;93
24119;92
24134;92
24149;92
24164;92
24179;93
24194;93
24209;93
24224;93
24239;94
24254;94
24269;93
24284;93
24299;93
24314;93
24329;92
24344;92
24359;92
24374;92
24389;92
24404;92
24419;92
24434;92
24449;92
24464;92
24479;92
24494;92
24509;92
24524;92
24539;91
24554;91
24569;91
24584;90
24599;90
24614;90
24629;90
24644;90
24659;90
24674;90
24689;90
24704;90
24719;90
24734;90
24749;90
24764;90
24779;89
24794;89
24809;89
24824;89
24839;89
24854;89
24869;90
24884;90
24899;90
24914;90
24929;90
24944;91
24959;92
24974;92
24989;93
25004;93
25019;94
25034;94
25049;93
25064;93
25079;93
25094;93
25109;93
25124;93
25139;94
25154;94
25169;95
25184;95
25199;95
25214;95
25229;97
25244;97
25259;96
25274;96
25289;96
25304;94
25319;94
25334;93
25349;91
25364;91
25379;90
25394;90
25409;88
25424;88
25439;87
25454;87
25469;87
25484;87
25499;87
25514;87
25529;88
25544;88
25559;88
25574;88
25589;89
25604;89
25619;89
25634;89
25649;89
25664;88
25679;88
25694;88
25709;89
25724;89
25739;89
25754;89
25769;89
25784;89
25799;90
25814;90
25829;91
25844;91
25859;91
25874;91
25889;91
25904;91
25919;91
25934;91
25949;90
25964;90
25979;89
25994;89
26009;89
26024;88
26039;87
26054;87
26069;87
26084;87
26099;87
26114;87
26129;87
26144;87
26159;87
26174;87
26189;87
26204;88
26219;88
26234;88
26249;89
26264;89
26279;90
26294;90
26309;91
26324;91
26339;91
26354;91
26369;91
26384;91
26399;93
26414;93
26429;94
26444;94
26459;96
26474;96
26489;97
26504;97
26519;96
26534;96
26549;96
26564;96
26579;94
26594;94
26609;93
26624;93
26639;93
26654;93
26669;94
26684;94
26699;95
26714;95
26729;95
26744;94
26759;93
26774;93
26789;92
26804;92
26819;90
26834;90
26849;90
26864;90
26879;90
26894;90
26909;91
26924;91
26939;90
26954;90
26969;91
26984;91
26999;91
27014;91
27029;90
27044;90
27059;90
27074;90
27089;90
27104;89
27119;89
27134;89
27149;90
27164;90
27179;90
27194;90
27209;90
27224;90
27239;90
27254;90
27269;89
27284;89
27299;89
27314;89
27329;89
27344;89
27359;90
27374;90
27389;90
27404;90
27419;90
27434;90
27449;90
27464;90
27479;91
27494;91
27509;91
27524;91
27539;92
27554;92
27569;92
27584;92
27599;92
27614;92
27629;91
27644;91
27659;89
27674;89
27689;88
27704;88
27719;88
27734;88
27749;88
27764;88
27779;88
27794;88
27809;89
27824;90
27839;90
27854;91
27869;93
27884;93
27899;94
27914;94
27929;94
27944;94
27959;94
27974;94
27989;95
28004;95
28019;95
28034;95
28049;95
28064;95
28079;95
28094;95
28109;94
28124;94
28139;94
28154;93
28169;93
28184;93
28199;93
28214;93
28229;93
28244;91
28259;90
28274;90
28289;90
28304;90
28319;90
28334;90
28349;90
28364;90
28379;91
28394;91
28409;91
28424;91
28439;93
28454;93
28469;93
28484;93
28499;93
28514;94
28529;94
28544;94
28559;94
28574;94
28589;94
28604;94
28619;95
28634;95
28649;94
28664;94
28679;94
28694;94
28709;94
28724;94
28739;93
28754;93
28769;93
28784;93
28799;93
28814;93
28829;93
28844;93
28859;93
28874;94
28889;94
28904;95
28919;96
28934;96
28949;97
28964;97
28979;97
28994;97
29009;95
29024;95
29039;94
29054;94
29069;93
29084;93
29099;93
29114;93
29129;93
29144;93
29159;92
29174;92
29189;92
29204;92
29219;92
29234;92
29249;92
29264;93
29279;94
29294;94
29309;96
29324;96
29339;96
29354;97
29369;99
29384;99
29399;99
29414;99
29429;98
29444;98
29459;98
29474;98
29489;98
29504;98
29519;98
29534;99
29549;98
29564;98
29579;98
29594;98
29609;98
29624;96
29639;95
29654;95
29669;93
29684;93
29699;92
29714;92
29729;92
29744;92
29759;92
29774;92
29789;92
29804;92
29819;90
29834;90
29849;90
29864;90
29879;89
29894;89
29909;89
29924;89
29939;89
29954;89
29969;89
29984;89
29999;89
30014;89
30029;89
30044;89
30059;90
30074;90
30089;90
30104;90
30119;89
30134;89
30149;90
30164;90
30179;90
30194;90
30209;90
30224;90
30239;90
30254;90
30269;90
30284;90
30299;90
30314;90
30329;90
30344;90
30359;89
30374;89
30389;89
30404;89
30419;89
30434;89
30449;89
30464;89
30479;90
30494;90
30509;91
30524;91
30539;92
30554;92
30569;92
30584;92
30599;92
30614;92
30629;92
30644;92
30659;92
30674;92
30689;92
30704;91
30719;91
